# Results for CWE546 — 2025-11-11 23:08:57
[2025-11-11 23:08:58] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-11 23:09:04] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_04_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_04_run.log
[2025-11-11 23:09:04] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_09_run.log
[2025-11-11 23:09:05] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_09_run.log
[2025-11-11 23:09:05] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_13_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_13_run.log
[2025-11-11 23:09:05] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_13_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_13_run.log
[2025-11-11 23:09:06] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_14_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_14_run.log
[2025-11-11 23:09:06] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_14_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_14_run.log
[2025-11-11 23:09:06] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_15_run.log
[2025-11-11 23:09:07] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_15_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_15_run.log
[2025-11-11 23:09:07] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_02_run.log
[2025-11-11 23:09:07] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_02_run.log
[2025-11-11 23:09:08] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_03_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_03_run.log
[2025-11-11 23:09:08] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_03_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_03_run.log
[2025-11-11 23:09:09] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_18_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_18_run.log
[2025-11-11 23:09:09] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_18_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_18_run.log
[2025-11-11 23:09:09] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_03_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_03_run.log
[2025-11-11 23:09:10] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_03_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_03_run.log
[2025-11-11 23:09:10] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_04_run.log
[2025-11-11 23:09:10] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_04_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_04_run.log
[2025-11-11 23:09:11] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_05_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_05_run.log
[2025-11-11 23:09:11] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_05_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_05_run.log
[2025-11-11 23:09:11] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_14_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_14_run.log
[2025-11-11 23:09:12] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_14_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_14_run.log

================ Summary ================
GOOD: 20 / 20  (100.0%)  (clean runs expected)
BAD:  0 / 20  (0.0%)   (ASan expected)
=========================================
