# Results for CWE665 — 2025-11-23 14:20:34
[2025-11-23 14:21:04] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_10_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__char_cat_10_run.log
[2025-11-23 14:33:14] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_44_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_cat_44_run.log
[2025-11-23 14:33:42] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_52a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:34:12] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_52a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:34:41] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_64a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:35:12] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_64a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:35:41] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_11_run.log
[2025-11-23 14:36:10] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_11_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_11_run.log
[2025-11-23 14:36:38] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_41_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_41_run.log
[2025-11-23 14:37:07] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_41_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_41_run.log
[2025-11-23 14:37:35] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_51a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:38:03] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_51a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:38:32] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_53d_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_53d_run.log
[2025-11-23 14:39:01] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_53d_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_53d_run.log
[2025-11-23 14:39:29] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_63b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_63b_run.log
[2025-11-23 14:39:58] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_ncat_63b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__wchar_t_ncat_63b_run.log

================ Summary ================
GOOD: 9 / 20  (45.0%)  (clean runs expected)
BAD:  5 / 20  (25.0%)   (ASan expected)
=========================================
