# Results for CWE364 — 2025-11-23 13:24:21
[2025-11-23 13:24:55] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_01_run.log
[2025-11-23 13:30:21] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_06_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_06_run.log
[2025-11-23 13:30:50] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_07_run.log
[2025-11-23 13:31:18] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_07_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_07_run.log
[2025-11-23 13:31:47] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_08_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_08_run.log
[2025-11-23 13:32:18] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_08_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_08_run.log
[2025-11-23 13:32:46] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_09_run.log
[2025-11-23 13:33:15] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_09_run.log
[2025-11-23 13:33:43] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_10_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_10_run.log
[2025-11-23 13:34:13] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_10_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_10_run.log
[2025-11-23 13:34:43] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_11_run.log
[2025-11-23 13:35:13] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_11_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_11_run.log
[2025-11-23 13:35:42] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_12_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_12_run.log
[2025-11-23 13:36:10] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_12_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_12_run.log
[2025-11-23 13:36:39] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_13_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_13_run.log
[2025-11-23 13:37:08] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_13_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_13_run.log
[2025-11-23 13:37:37] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_14_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_14_run.log
[2025-11-23 13:38:06] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_14_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_14_run.log
[2025-11-23 13:38:35] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_15_run.log
[2025-11-23 13:39:05] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_15_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_15_run.log
[2025-11-23 13:39:33] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_16_run.log
[2025-11-23 13:40:03] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_16_run.log
[2025-11-23 13:40:31] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_17_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_17_run.log
[2025-11-23 13:41:01] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_17_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_17_run.log
[2025-11-23 13:41:30] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_18_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_18_run.log
[2025-11-23 13:41:59] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_18_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_18_run.log

================ Summary ================
GOOD: 18 / 18  (100.0%)  (clean runs expected)
BAD:  0 / 18  (0.0%)   (ASan expected)
=========================================
