# Results for CWE121 — 2025-11-23 12:39:48
[2025-11-23 12:40:17] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_run.log
[2025-11-23 12:51:16] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_41_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_41_run.log
[2025-11-23 12:51:45] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_65b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_65b_run.log
[2025-11-23 12:52:13] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_65b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_65b_run.log
[2025-11-23 12:52:41] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_ncpy_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_ncpy_07_run.log
[2025-11-23 12:53:10] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_ncpy_07_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_ncpy_07_run.log
[2025-11-23 12:53:38] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_loop_42_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_loop_42_run.log
[2025-11-23 12:54:06] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_loop_42_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_loop_42_run.log
[2025-11-23 12:54:34] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_memcpy_63b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_memcpy_63b_run.log
[2025-11-23 12:55:02] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_memcpy_63b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_memcpy_63b_run.log
[2025-11-23 12:55:31] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_11_run.log
[2025-11-23 12:56:00] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_11_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_11_run.log
[2025-11-23 12:56:28] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memmove_66a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 12:56:56] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memmove_66a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 12:57:25] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_ncat_41_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_ncat_41_run.log
[2025-11-23 12:57:54] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_ncat_41_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_ncat_41_run.log
[2025-11-23 12:58:23] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__src_wchar_t_declare_cat_54c_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 12:58:52] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__src_wchar_t_declare_cat_54c_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=

================ Summary ================
GOOD: 13 / 20  (65.0%)  (clean runs expected)
BAD:  9 / 20  (45.0%)   (ASan expected)
=========================================
