# Results for CWE364 — 2025-11-22 16:31:08
[2025-11-22 16:31:08] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_01_run.log
[2025-11-22 16:31:22] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_15_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_15_run.log
[2025-11-22 16:31:23] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_16_run.log
[2025-11-22 16:31:23] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_16_run.log
[2025-11-22 16:31:23] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_17_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_17_run.log
[2025-11-22 16:31:24] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_17_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_17_run.log
[2025-11-22 16:31:24] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_18_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_18_run.log
[2025-11-22 16:31:25] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_18_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_18_run.log

================ Summary ================
GOOD: 18 / 18  (100.0%)  (clean runs expected)
BAD:  0 / 18  (0.0%)   (ASan expected)
=========================================
