# Results for CWE546 — 2025-11-23 11:54:13
[2025-11-23 11:54:43] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-23 12:00:27] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_16_run.log
[2025-11-23 12:00:57] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_16_run.log
[2025-11-23 12:01:26] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_02_run.log
[2025-11-23 12:01:54] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_02_run.log
[2025-11-23 12:02:23] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_04_run.log
[2025-11-23 12:02:51] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_04_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_04_run.log
[2025-11-23 12:03:20] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_09_run.log
[2025-11-23 12:03:49] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_09_run.log
[2025-11-23 12:04:18] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_13_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_13_run.log
[2025-11-23 12:04:47] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_13_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_13_run.log
[2025-11-23 12:05:16] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_14_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_14_run.log
[2025-11-23 12:05:46] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_14_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_14_run.log
[2025-11-23 12:06:14] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_15_run.log
[2025-11-23 12:06:43] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_15_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_15_run.log
[2025-11-23 12:07:12] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_02_run.log
[2025-11-23 12:07:42] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_02_run.log
[2025-11-23 12:08:10] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_03_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_03_run.log
[2025-11-23 12:08:38] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_03_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_03_run.log
[2025-11-23 12:09:07] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_18_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_18_run.log
[2025-11-23 12:09:35] CWE=546 | harness=CWE546_Suspicious_Comment__LATER_18_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__LATER_18_run.log
[2025-11-23 12:10:05] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_03_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_03_run.log
[2025-11-23 12:10:34] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_03_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_03_run.log
[2025-11-23 12:11:04] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_04_run.log
[2025-11-23 12:11:32] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_04_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_04_run.log
[2025-11-23 12:12:01] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_05_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_05_run.log
[2025-11-23 12:12:30] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_05_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_05_run.log
[2025-11-23 12:12:58] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_14_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_14_run.log
[2025-11-23 12:13:26] CWE=546 | harness=CWE546_Suspicious_Comment__TODO_14_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__TODO_14_run.log

================ Summary ================
GOOD: 20 / 20  (100.0%)  (clean runs expected)
BAD:  0 / 20  (0.0%)   (ASan expected)
=========================================
