# Results for CWE122 — 2025-11-16 00:08:52
[2025-11-16 00:08:53] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_run.log
[2025-11-16 00:08:57] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_11_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_11_run.log
[2025-11-16 00:08:57] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_17_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_17_run.log
[2025-11-16 00:08:58] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_17_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_17_run.log
[2025-11-16 00:08:58] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_65b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_65b_run.log
[2025-11-16 00:08:59] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_65b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_65b_run.log
[2025-11-16 00:08:59] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_54a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:08:59] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_54a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:00] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:00] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:00] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54e_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54e_run.log
[2025-11-16 00:09:01] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54e_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54e_run.log
[2025-11-16 00:09:01] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_snprintf_64b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_snprintf_64b_run.log
[2025-11-16 00:09:02] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_snprintf_64b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_snprintf_64b_run.log
[2025-11-16 00:09:02] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memcpy_52a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:02] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memcpy_52a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:03] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memmove_53d_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memmove_53d_run.log
[2025-11-16 00:09:03] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memmove_53d_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memmove_53d_run.log
[2025-11-16 00:09:04] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_memmove_52a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:04] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_memmove_52a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:04] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_13_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_13_run.log
[2025-11-16 00:09:05] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_13_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_13_run.log
[2025-11-16 00:09:05] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_09_run.log
[2025-11-16 00:09:06] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_09_run.log
[2025-11-16 00:09:06] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_41_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_41_run.log
[2025-11-16 00:09:07] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_41_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_41_run.log
[2025-11-16 00:09:07] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_68a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:07] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_68a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:09:08] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_67b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_67b_run.log
[2025-11-16 00:09:08] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_67b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_67b_run.log

================ Summary ================
GOOD: 8 / 20  (40.0%)  (clean runs expected)
BAD:  5 / 20  (25.0%)   (ASan expected)
=========================================
