# Results for CWE190 — 2025-11-16 00:09:13
[2025-11-16 00:09:13] CWE=190 | harness=CWE190_Integer_Overflow__char_rand_add_54e_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE190_Integer_Overflow__char_rand_add_54e_run.log
[2025-11-16 00:09:56] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_fscanf_preinc_52c_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE190_Integer_Overflow__unsigned_int_fscanf_preinc_52c_run.log
[2025-11-16 00:09:56] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_fscanf_preinc_61b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE190_Integer_Overflow__unsigned_int_fscanf_preinc_61b_run.log
[2025-11-16 00:09:57] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_fscanf_preinc_61b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE190_Integer_Overflow__unsigned_int_fscanf_preinc_61b_run.log
[2025-11-16 00:09:58] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_max_multiply_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE190_Integer_Overflow__unsigned_int_max_multiply_04_run.log
[2025-11-16 00:09:58] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_max_multiply_04_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE190_Integer_Overflow__unsigned_int_max_multiply_04_run.log
[2025-11-16 00:09:59] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_max_postinc_51b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE190_Integer_Overflow__unsigned_int_max_postinc_51b_run.log
[2025-11-16 00:09:59] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_max_postinc_51b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE190_Integer_Overflow__unsigned_int_max_postinc_51b_run.log
[2025-11-16 00:10:00] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_rand_add_10_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE190_Integer_Overflow__unsigned_int_rand_add_10_run.log
[2025-11-16 00:10:01] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_rand_add_10_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE190_Integer_Overflow__unsigned_int_rand_add_10_run.log
[2025-11-16 00:10:01] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_rand_add_65a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-16 00:10:02] CWE=190 | harness=CWE190_Integer_Overflow__unsigned_int_rand_add_65a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=

================ Summary ================
GOOD: 9 / 20  (45.0%)  (clean runs expected)
BAD:  0 / 20  (0.0%)   (ASan expected)
=========================================
